company_name,company_id,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,floor_rate,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,rate_cap,shares,data_quality_flags,ticker,filing_date
ACV Auctions Inc.,co_8b4f8734d23f,Other Equity,,,,,,,2016-08-12,,,53,3377,5.5%,53,,,,194934,cost_suspicious_vs_size,RAND,2023-08-04
Ares Capital Corp.,co_70abf1d3f651,Other Equity,,,,,,,2020-03-16,,,267,393,0.6%,267,,,,21000,,RAND,2023-08-04
Barings BDC Inc.,co_8d8ce61bc622,Other Equity,,,,,,,2020-08-13,,,333,314,0.5%,333,,,,40000,,RAND,2023-08-04
Caitec Inc.,co_e7ed3d437c5a,Subordinated Debt,,12%,2%,,,,2020-11-06,2026-06-01,1750,1846,1846,6.5%,1846,,,,,,RAND,2023-08-04
Caitec,co_e7ed3d437c5a,Other Equity,,,,,,,2020-11-06,,,150,150,,150,,,,,,RAND,2023-08-04
Caitec Inc.,co_e7ed3d437c5a,Other,,,,,,,,,,3993,3993,,3993,,,,,,RAND,2023-08-04
Carlyle Secured Lending Inc.,co_cdd62342e8c5,Other Equity,Financial Services,,,,,,2020-08-13,,,900,1263,2%,900,,,,86000,,RAND,2023-08-04
FS KKR Capital Corp.,co_4ee1e711995c,Other Equity,,,,,,,2020-03-16,,,755,917,1.5%,755,,,,48000,,RAND,2023-08-04
GoNoodle Inc.,co_aacea6e2fb71,First Lien,,12%,1%,,,,2019-11-01,2024-09-30,1500,1419,1419,2.3%,1419,,,,,,RAND,2023-08-04
GoNoodle Inc.,co_aacea6e2fb71,Preferred Equity,,,,,,,2015-03-01,,,0,0,,0,,,,,,RAND,2023-08-04
GoNoodle Inc.,co_aacea6e2fb71,Preferred Equity,,,,,,,2019-11-01,,,0,0,,0,,,,,,RAND,2023-08-04
GoNoodle Inc.,co_aacea6e2fb71,Other,,,,,,,,,,1419,1419,,1419,,,,,,RAND,2023-08-04
HDI Acquisition LLC.,co_b738dab3265a,First Lien,,12%,2%,,,,2019-11-08,2025-06-30,1245,1040,1040,1.7%,1040,,,,,,RAND,2023-08-04
Lumious,co_5d3a4b57918d,First Lien,,14%,,,,,2018-11-16,2024-12-01,850,790,790,1.3%,790,,,,,,RAND,2023-08-04
Mattison Avenue Holdings LLC. - $1 794 944 Third Amended,co_d8bd131a1328,First Lien,,12%,2%,,,,2021-06-23,2023-12-09,1795,1875,1875,3.1%,1875,,,,,,RAND,2023-08-04
Nailbiter Inc.,co_a148aff96f2a,Subordinated Debt,,9%,,,,,2021-11-22,2024-11-23,,2250,2250,3.7%,2250,,,,,,RAND,2023-08-04
Nailbiter Inc.,co_a148aff96f2a,Other,,,,,,,,,,2250,2250,,2250,,,,,,RAND,2023-08-04
OnCore Golf Technology Inc.,co_9a694a686c60,Preferred Equity,Healthcare,,,,,,2018-11-30,,,753,100,0.2%,753,,,,300483,,RAND,2023-08-04
Open Exchange Inc.,co_c386136e3cd0,Preferred Equity,,,,,,,2013-11-13,,,1194,700,1.1%,1194,,,,397899,,RAND,2023-08-04
Open Exchange Inc.,co_c386136e3cd0,Other Equity,,,,,,,2019-10-22,,,208,,,208,,,,397899,,RAND,2023-08-04
Open Exchange,co_c386136e3cd0,Other,,,,,,,,,,1402,700,,1402,,,,,,RAND,2023-08-04
PennantPark Investment Corp.,co_ad231967d259,Other Equity,Financial Services,,,,,,2020-08-13,,,892,1138,1.8%,892,,,,195000,,RAND,2023-08-04
PostProcess Technologies Inc.,co_2f0e92e0421b,Preferred Equity,,,,,,,2019-11-01,,,349,100,0.2%,349,,,,360002,,RAND,2023-08-04
