company_name,company_id,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,floor_rate,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,rate_cap,shares,data_quality_flags,ticker,filing_date
Antenna Research Associates,co_c36b26fe28ee,First Lien,Media & Entertainment,15.1%,4%,SOFR,10%,,,,22041,22041,22041,,22041,,,,,,GLAD,2023-07-26
Ohio Armor Holdings,co_d293b5ff134c,First Lien,,13.1%,,SOFR,8%,,,,18031,18013,17670,,18013,,,,,,GLAD,2023-07-26
SpaceCo Holdings LLC,co_40afcfc33a8d,First Lien,,12.4%,,SOFR,7.2%,,,,1900,1900,1869,,1900,,,,,,GLAD,2023-07-26
SpaceCo Holdings,co_40afcfc33a8d,First Lien,Media & Entertainment,12.4%,,SOFR,7.2%,,,,30491,30136,29995,,30136,,,,,,GLAD,2023-07-26
Café Zupas – Line of Credit,co_f7c4efb4468a,First Lien,,11.9%,,SOFR,6.8%,,,,0,0,0,,0,,,,,,GLAD,2023-07-26
Café Zupas – Delayed Draw Term Loan,co_46ede8b20060,First Lien,,11.9%,,SOFR,6.8%,,,,3970,3970,3891,,3970,,,,,type_hint_delayed_draw_from_name,GLAD,2023-07-26
Café Zupas – Term Debt,co_4611c89a7087,First Lien,,11.9%,,SOFR,6.8%,,,,23460,23460,22991,,23460,,,,,,GLAD,2023-07-26
Eegee’s LLC,co_220ebdd45412,First Lien,,12.9%,,SOFR,7.8%,,,,0,0,0,,0,,,,,,GLAD,2023-07-26
Eegee’s LLC,co_220ebdd45412,First Lien,,12.9%,,SOFR,7.8%,,,,3000,3000,2873,,3000,,,,,,GLAD,2023-07-26
Eegee’s LLC,co_220ebdd45412,First Lien,,12.9%,,SOFR,7.8%,,,,17000,17000,16278,,17000,,,,,,GLAD,2023-07-26
Salt & Straw LLC,co_6120273cfcb8,First Lien,,14.2%,,SOFR,9.1%,,,,1940,1940,1853,,1940,,,,,,GLAD,2023-07-26
Salt & Straw,co_6120273cfcb8,Delayed Draw,,14.2%,,SOFR,9.1%,,,,8500,8430,8118,,8430,,,,,,GLAD,2023-07-26
Sokol & Company Holdings,co_f986b0a657ad,First Lien,,12.1%,,SOFR,7%,,,,13500,13500,13179,,13500,,,,,,GLAD,2023-07-26
GFRC 360 LLC,co_b725b64d06a4,First Lien,,13.1%,,SOFR,8%,,,,1150,1150,1076,,1150,,,,,,GLAD,2023-07-26
GFRC 360,co_b725b64d06a4,First Lien,,13.1%,,SOFR,8%,,,,1000,1000,936,,1000,,,,,,GLAD,2023-07-26
Engineering Manufacturing Technologies LLC,co_1d2af3b61aaa,First Lien,Industrials,13.4%,,SOFR,8.3%,,,,0,0,0,,0,,,,,,GLAD,2023-07-26
Engineering Manufacturing Technologies,co_1d2af3b61aaa,First Lien,Media & Entertainment,13.4%,,SOFR,8.3%,,,,21500,21500,20317,,21500,,,,,,GLAD,2023-07-26
NeoGarf Solutions LLC,co_67c96b2804e1,First Lien,,11%,1.1%,SOFR,7%,,,,,,,,,,,,,,GLAD,2023-07-26
NeoGraf Solutions LLC,co_94ebeef813ac,First Lien,,,,,,,,,0,0,0,,0,,,,,,GLAD,2023-07-26
NeoGraf Solutions LLC,co_94ebeef813ac,First Lien,,11%,1.1%,SOFR,7%,,,,27070,27070,26258,,27070,,,,,,GLAD,2023-07-26
OCI,co_7e887edb52b7,First Lien,,12.6%,,SOFR,7.5%,,,,20000,20000,20000,,20000,,,,,,GLAD,2023-07-26
Salvo Technologies,co_7ee47d6a8e1b,First Lien,Media & Entertainment,14.6%,,SOFR,9.5%,,,,11797,11797,10971,,11797,,,,,,GLAD,2023-07-26
Unirac Inc.,co_0a0d9b673fbd,First Lien,,11.6%,,SOFR,6.5%,,,,1200,1200,1201,,1200,,,,,,GLAD,2023-07-26
Unirac,co_0a0d9b673fbd,Delayed Draw,,11.6%,,SOFR,6.5%,,,,1108,1108,1110,,1108,,,,,,GLAD,2023-07-26
Unirac,co_0a0d9b673fbd,First Lien,,11.6%,,SOFR,6.5%,,,,14888,14561,14906,,14561,,,,,,GLAD,2023-07-26
Viva Railings LLC,co_2bcc1def71ed,First Lien,,12.2%,,SOFR,7.1%,,,,0,0,0,,0,,,,,,GLAD,2023-07-26
Viva Railings,co_2bcc1def71ed,First Lien,,12.2%,,SOFR,7.1%,,,,20747,20747,20488,,20747,,,,,,GLAD,2023-07-26
Axios Industrial Group,co_3f8af78bf81e,First Lien,Industrials,14.2%,,SOFR,9.1%,,,,9000,8967,8843,,8967,,,,,,GLAD,2023-07-26
Axios Industrial Group,co_3f8af78bf81e,Delayed Draw,Industrials,14.2%,,SOFR,9.1%,,,,3000,3000,2948,,3000,,,,,,GLAD,2023-07-26
DKI Ventures,co_5a799da24899,First Lien,Media & Entertainment,13.1%,,SOFR,8%,,,,5915,5915,3549,,5915,,,,,,GLAD,2023-07-26
ENET Holdings,co_6816e91e1a2c,First Lien,Media & Entertainment,12.4%,,SOFR,7.3%,,,,22289,22289,21453,,22289,,,,,,GLAD,2023-07-26
Fix-It Group LLC,co_4489e477ce91,First Lien,,13.2%,,SOFR,8.1%,,,,1000,1000,1000,,1000,,,,,,GLAD,2023-07-26
Fix-It Group,co_4489e477ce91,First Lien,,13.2%,,SOFR,8.1%,,,,12200,12200,12200,,12200,,,,,,GLAD,2023-07-26
Fix-It Group,co_4489e477ce91,Delayed Draw,,13.2%,,SOFR,8.1%,,,,6911,6911,6911,,6911,,,,,,GLAD,2023-07-26
Leadpoint Business Services,co_fb6e912cb5b9,First Lien,Business Services,13.6%,,SOFR,8.5%,,,,13500,13500,13365,,13500,,,,,,GLAD,2023-07-26
