company_name,company_id,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,floor_rate,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,rate_cap,shares,data_quality_flags,ticker,filing_date
Jonathan Acquisition Company,co_2b0df6f58fee,First Lien,,10.49%,,SOFR,5%,,,,2691,2645,2658,0.18%,2645,,,,,,MSDL,2023-11-02
Mantech International CP 1,co_f37e84ef45c4,First Lien,,11.12%,,SOFR,5.75%,,,,356,350,0,0.02%,350,56,,,,,MSDL,2023-11-02
Mantech International CP 2,co_f37e84ef45c4,First Lien,,11.12%,,SOFR,5.75%,,,,31,30,0,0%,30,53,,,,,MSDL,2023-11-02
Mantech International CP 3,co_f37e84ef45c4,First Lien,,11.12%,,SOFR,5.75%,,,,0,-1,0,0%,-1,,,,,,MSDL,2023-11-02
PCX Holding Corp.,co_ef3656896e7a,First Lien,,11.79%,,SOFR,6.25%,,,,18093,17975,17930,1.21%,17975,,,,,,MSDL,2023-11-02
PCX Holding Corp.,co_ef3656896e7a,First Lien,,11.79%,,SOFR,6.25%,,,,18218,17968,18053,1.22%,17968,,,,,,MSDL,2023-11-02
PCX Holding Corp.,co_ef3656896e7a,First Lien,,11.79%,,SOFR,6.25%,,,,864,853,847,0.06%,853,,,,,,MSDL,2023-11-02
Two Six Labs LLC,co_fa694859da73,First Lien,,10.89%,,SOFR,5.5%,,,,10876,10723,-22,0.73%,10723,2134,,,,,MSDL,2023-11-02
Two Six Labs LLC,co_fa694859da73,First Lien,,10.89%,,SOFR,5.5%,,,,2102,2058,-22,0.14%,2058,2134,,,,,MSDL,2023-11-02
Two Six Labs LLC,co_fa694859da73,First Lien,,10.89%,,SOFR,5.5%,,,,0,-28,-22,0%,-28,,,,,,MSDL,2023-11-02
AGI-CFI Holdings Inc.,co_12186169ddbd,First Lien,,11.29%,,SOFR,5.75%,,,,14299,14071,14147,0.95%,14071,,,,,,MSDL,2023-11-02
Omni Intermediate Holdings LLC,co_e1a292c2bcb6,First Lien,Media & Entertainment,10.42%,,SOFR,5%,,,,12445,12353,0,0.84%,12353,138,,,,,MSDL,2023-11-02
Omni Intermediate Holdings LLC,co_e1a292c2bcb6,First Lien,Media & Entertainment,10.42%,,SOFR,5%,,,,1265,1248,0,0.09%,1248,799,,,,,MSDL,2023-11-02
Omni Intermediate Holdings LLC,co_e1a292c2bcb6,First Lien,Media & Entertainment,9.42%,,SOFR,4%,,,,266,259,266,0.02%,259,,,,,,MSDL,2023-11-02
RoadOne IntermodaLogistics 1,co_d85663c58756,First Lien,Transportation & Logistics,11.72%,,SOFR,6.25%,,,,1660,1614,-5,0.11%,1614,295,,,,,MSDL,2023-11-02
RoadOne IntermodaLogistics 2,co_d85663c58756,First Lien,Transportation & Logistics,11.72%,,SOFR,6.25%,,,,130,122,-6,0.01%,122,310,,,,,MSDL,2023-11-02
RoadOne IntermodaLogistics 3,co_d85663c58756,First Lien,Transportation & Logistics,11.72%,,SOFR,6.25%,,,,20,12,14,0%,12,,,,,,MSDL,2023-11-02
Continental Battery Company,co_636215f6acdc,First Lien,,12.04%,,SOFR,6.75%,,,,6141,6053,5467,0.37%,6053,,,,,,MSDL,2023-11-02
Randy's Holdings Inc.,co_6db8ca7e3f44,First Lien,,11.88%,,SOFR,6.5%,,,,6684,6506,-16,0.45%,6506,2248,,,,,MSDL,2023-11-02
Randy's Holdings Inc.,co_6db8ca7e3f44,First Lien,,11.88%,,SOFR,6.5%,,,,0,-29,-4,0%,-29,608,,,,,MSDL,2023-11-02
Randy's Holdings Inc.,co_6db8ca7e3f44,First Lien,,11.88%,,SOFR,6.5%,,,,292,269,285,0.02%,269,,,,,,MSDL,2023-11-02
Sonny's Enterprises LLC,co_499bbf22e48d,First Lien,,12.27%,,SOFR,6.75%,,,,40817,40296,40780,2.75%,40296,,,,,,MSDL,2023-11-02
Sonny's Enterprises LLC,co_499bbf22e48d,First Lien,,12.27%,,SOFR,6.75%,,,,5319,5257,5314,0.36%,5257,,,,,,MSDL,2023-11-02
Spectrum Automotive Holdings Corp.,co_15a3782db96e,First Lien,Automotive,11.18%,,SOFR,5.75%,,,,23470,23210,-30,1.54%,23210,1154,,,,,MSDL,2023-11-02
Spectrum Automotive Holdings Corp.,co_15a3782db96e,First Lien,Automotive,11.18%,,SOFR,5.75%,,,,5379,5312,-23,0.35%,5312,881,,,,,MSDL,2023-11-02
Spectrum Automotive Holdings Corp.,co_15a3782db96e,First Lien,Automotive,11.18%,,SOFR,5.75%,,,,0,-8,-23,0%,-8,,,,,,MSDL,2023-11-02
ARI Network Services Inc.,co_77e62450b687,First Lien,Business Services,10.67%,,SOFR,5.25%,,,,20564,20392,20365,1.37%,20392,,,,,,MSDL,2023-11-02
ARI Network Services Inc.,co_77e62450b687,First Lien,Business Services,10.67%,,SOFR,5.25%,,,,3603,3572,3568,0.24%,3572,,,,,,MSDL,2023-11-02
ARI Network Services Inc.,co_77e62450b687,First Lien,Business Services,10.67%,,SOFR,5.25%,,,,1757,1734,1728,0.12%,1734,,,,,,MSDL,2023-11-02
Summit Buyer LLC,co_6ae4e9bec688,First Lien,,11.24%,,SOFR,5.75%,,,,21952,21701,-3,1.46%,21701,227,,,,,MSDL,2023-11-02
Summit Buyer LLC,co_6ae4e9bec688,First Lien,,11.24%,,SOFR,5.75%,,,,32063,31684,-19,2.14%,31684,1881,,,,,MSDL,2023-11-02
Summit Buyer LLC,co_6ae4e9bec688,First Lien,,13.25%,,SOFR,4.75%,,,,562,537,537,0.04%,537,,,,,,MSDL,2023-11-02
Turbo Buyer Inc.,co_8cff08261721,First Lien,,11.4%,,SOFR,6%,,,,37652,37251,37184,2.51%,37251,,,,,,MSDL,2023-11-02
Turbo Buyer Inc.,co_8cff08261721,First Lien,,11.4%,,SOFR,6%,,,,37835,37352,37365,2.52%,37352,,,,,,MSDL,2023-11-02
GraphPad Software LLC,co_61592fde437f,First Lien,Software & Technology,10.94%,,SOFR,5.5%,,,,14844,14746,14740,0.99%,14746,,,,,,MSDL,2023-11-02
GraphPad Software LLC,co_61592fde437f,First Lien,Software & Technology,13.5%,,SOFR,5%,,,,875,865,863,0.06%,865,,,,,,MSDL,2023-11-02
Tank Holding Corp.,co_b2a29c9530cb,First Lien,,11.19%,,SOFR,5.75%,,,,15753,15479,-26,1.03%,15479,745,,,,,MSDL,2023-11-02
Tank Holding Corp.,co_b2a29c9530cb,First Lien,,11.19%,,SOFR,5.75%,,,,0,-10,-6,0%,-10,173,,,,,MSDL,2023-11-02
Tank Holding Corp.,co_b2a29c9530cb,First Lien,,11.19%,,SOFR,5.75%,,,,627,615,600,0.04%,615,,,,,,MSDL,2023-11-02
V Global Holdings LLC,co_e97d0109499f,First Lien,,11.43%,,SOFR,5.75%,,,,4866,4789,4771,0.32%,4789,,,,,,MSDL,2023-11-02
V Global Holdings LLC,co_e97d0109499f,First Lien,,11.43%,,SOFR,5.75%,,,,223,214,210,0.01%,214,,,,,,MSDL,2023-11-02
365 Retail Markets LLC,co_65cd0a23340e,First Lien,Consumer & Retail,10.15%,,SOFR,4.75%,,,,0,-30,0,0%,-30,,,,,,MSDL,2023-11-02
365 Retail Markets LLC,co_65cd0a23340e,First Lien,Consumer & Retail,10.15%,,SOFR,4.75%,,,,17149,16952,17149,1.16%,16952,,,,,,MSDL,2023-11-02
365 Retail Markets LLC,co_65cd0a23340e,First Lien,Consumer & Retail,10.15%,,SOFR,4.75%,,,,5502,5452,5502,0.37%,5452,,,,,,MSDL,2023-11-02
Atlas Us Finco Inc.,co_e4ca4d595e3b,First Lien,,12.58%,,SOFR,7.25%,,,,2009,1953,1988,0.13%,1953,,,,,,MSDL,2023-11-02
Atlas Us Finco Inc.,co_e4ca4d595e3b,First Lien,,12.58%,,SOFR,7.25%,,,,0,-5,-2,0%,-5,,,,,,MSDL,2023-11-02
BPG Holdings IV Corp.,co_bca2c4f52e0e,First Lien,,11.39%,,SOFR,6%,,,,11676,10979,11355,0.77%,10979,,,,,,MSDL,2023-11-02
Encore Holdings LLC,co_7640b5885d7f,First Lien,,9.99%,,SOFR,4.5%,,,,1835,1810,0,0.12%,1810,1268,,,,,MSDL,2023-11-02
Encore Holdings LLC,co_7640b5885d7f,First Lien,,9.99%,,SOFR,4.5%,,,,2298,2247,0,0.16%,2247,539,,,,,MSDL,2023-11-02
Encore Holdings LLC,co_7640b5885d7f,First Lien,,9.99%,,SOFR,4.5%,,,,0,-6,0,0%,-6,,,,,,MSDL,2023-11-02
Energy Labs Holdings Corp.,co_beb5f022627c,First Lien,Energy,10.68%,,SOFR,5.25%,,,,385,380,379,0.03%,380,,,,,,MSDL,2023-11-02
Energy Labs Holdings Corp.,co_beb5f022627c,First Lien,Energy,10.68%,,SOFR,5.25%,,,,37,36,36,0%,36,,,,,,MSDL,2023-11-02
Energy Labs Holdings Corp.,co_beb5f022627c,First Lien,Energy,10.68%,,SOFR,5.25%,,,,30,29,29,0%,29,,,,,,MSDL,2023-11-02
