company_name,company_id,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,floor_rate,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,rate_cap,shares,data_quality_flags,ticker,filing_date
Advocates for Disabled Vets,co_4a1eca3ba633,First Lien,,12%,,,,,,2030-03-07,8966,8797,8787,5.6%,8797,,,,,,PFX,2025-08-06
Advocates for Disabled Vets,co_4a1eca3ba633,Other Equity,,,,,,,,,3375,3375,3375,2.14%,3375,,,,3375000,,PFX,2025-08-06
Advocates for Disabled Vets LLC,co_4a1eca3ba633,First Lien,Consumer & Retail,,,,,,,2030-03-07,12341,12172,12162,7.74%,12172,,,,,,PFX,2025-08-06
Altisource S.A.R.L,co_f815714130ba,First Lien,,6.5%,,,,,,2030-04-30,8055,8309,7883,5.02%,8309,,,,,,PFX,2025-08-06
Altisource S.A.R.L,co_f815714130ba,First Lien,,,,,,,,,547,3328,4667,2.97%,3328,,,,,,PFX,2025-08-06
Altisource S.A.R.L,co_f815714130ba,First Lien,,,,,,,,2029-04-02,111,647,57,0.04%,647,,,,,,PFX,2025-08-06
Altisource S.A.R.L,co_f815714130ba,First Lien,,,,,,,,2032-04-30,111,622,56,0.04%,622,,,,,,PFX,2025-08-06
Altisource S.A.R.L.,co_f815714130ba,First Lien,Business Services,,,,,,,,8824,12906,12663,8.07%,12906,,,,,,PFX,2025-08-06
Boostability Seotowncenter,co_d7c55e5f10cf,Other Equity,,,,,,,,,833,66,,0%,66,,,,833152,,PFX,2025-08-06
Boostability Seotowncenter Inc.,co_d7c55e5f10cf,First Lien,Business Services,,,,,,,,833,66,,0%,66,,,,,,PFX,2025-08-06
CB&L Associates Holdco I,co_2ae45e352613,First Lien,,2.75%,,,,,,2025-11-01,2929,2461,2746,1.75%,2461,,,,,,PFX,2025-08-06
CB&L Associates Holdco I LLC,co_2ae45e352613,First Lien,Real Estate,,,,,,,2025-11-01,2929,2461,2746,1.75%,2461,,,,,,PFX,2025-08-06
Chimera Investment Corp.,co_6ada2295c415,First Lien,Financial Services,,,,,,,,152,3636,3424,2.19%,3636,,,,151710,,PFX,2025-08-06
Chimera Investment Corp.,co_6ada2295c415,First Lien,Financial Services,,,,,,,,26,636,638,0.41%,636,,,,26133,,PFX,2025-08-06
Chimera Investment Corp.,co_6ada2295c415,First Lien,Real Estate,,,,,,,,178,4272,4062,2.6%,4272,,,,,,PFX,2025-08-06
Compass Diversified Holdings,co_09bf04de6f86,First Lien,Diversified,,,,,,,,48,811,896,0.57%,811,,,,47550,,PFX,2025-08-06
Compass Diversified Holdings,co_09bf04de6f86,First Lien,Real Estate,,,,,,,,48,811,896,0.57%,811,,,,,,PFX,2025-08-06
Copper Property CTL Pass Through Trust,co_10d79bf68c1e,First Lien,,,,,,,,,638,7200,7902,5.04%,7200,,,,,,PFX,2025-08-06
Copper Property CTL Pass Through Trust,co_10d79bf68c1e,First Lien,Real Estate,,,,,,,,638,7200,7902,5.04%,7200,,,,,,PFX,2025-08-06
First Brands Group,co_4006f9726c8d,First Lien,,5%,,,,,,2027-03-30,3849,3849,3633,2.32%,3849,,,,,,PFX,2025-08-06
First Brands Group LLC,co_4006f9726c8d,First Lien,Automotive,,,,,,,2027-03-30,3849,3849,3633,2.32%,3849,,,,,,PFX,2025-08-06
Innovate Corp.,co_0a4006509be4,First Lien,,8.5%,,,,,,2026-02-01,4250,3715,3759,2.4%,3715,,,,,,PFX,2025-08-06
Innovate Corp.,co_0a4006509be4,First Lien,Industrials,,,,,,,2026-02-01,4250,3715,3759,2.4%,3715,,,,,,PFX,2025-08-06
JFL-NGS-WCS Partners,co_49235bce4240,Other Equity,,,,,,,,,10000,10000,11300,7.21%,10000,,,,10000000,,PFX,2025-08-06
NGS-WCS Group Holdings - JFL-NGS-WCS Partners LLC,co_a5bd0cfd5eae,First Lien,,,,,,,,,10990,10986,12300,7.85%,10986,,,,,,PFX,2025-08-06
Kemmerer Operations,co_a9e56b971d1a,First Lien,,5%,,,,,,2028-12-31,8763,8763,8763,5.59%,8763,,,,,,PFX,2025-08-06
Kemmerer Operations LLC,co_a9e56b971d1a,First Lien,Chemicals & Materials,,,,,,,2028-12-31,8763,8763,8763,5.59%,8763,,,,,,PFX,2025-08-06
Lucky Bucks,co_be4032c6c26c,First Lien,,7.65%,5%,,,,,2029-10-02,2130,1984,2130,1.36%,1984,,,,,,PFX,2025-08-06
Lucky Bucks,co_be4032c6c26c,First Lien,,7.65%,,,,,,2028-10-02,1518,1414,1518,0.97%,1414,,,,,,PFX,2025-08-06
