ticker,filing_date,statement_label,statement_type,line_item,concept,value,context_key,start_date,end_date,instant_date,duration_days,level,is_abstract,preferred_label,order_index,metric_key
FSK,2022-11-07,income_statement,income_statement,InterestIncomeOperatingPaidInCash,InterestIncomeOperatingPaidInCash,255000000,i0d89a78473384d629792258c15fdb012_D20220701-20220930,,,,,,False,InterestIncomeOperatingPaidInCash,,
FSK,2022-11-07,income_statement,income_statement,InterestIncomeOperatingPaidInCash,InterestIncomeOperatingPaidInCash,219000000,i879309acb65143b799d01cdcf7f93e28_D20210701-20210930,,,,,,False,InterestIncomeOperatingPaidInCash,,
FSK,2022-11-07,income_statement,income_statement,InterestIncomeOperatingPaidInCash,InterestIncomeOperatingPaidInCash,725000000,i0178982fcf2f4767817600b3474e5178_D20220101-20220930,,,,,,False,InterestIncomeOperatingPaidInCash,,
FSK,2022-11-07,income_statement,income_statement,InterestIncomeOperatingPaidInCash,InterestIncomeOperatingPaidInCash,414000000,i9b0bb3091c4f43dbb444a252c9d2b144_D20210101-20210930,,,,,,False,InterestIncomeOperatingPaidInCash,,
FSK,2022-11-07,income_statement,income_statement,InterestIncomeOperatingPaidInKind,InterestIncomeOperatingPaidInKind,18000000,i0d89a78473384d629792258c15fdb012_D20220701-20220930,,,,,,False,InterestIncomeOperatingPaidInKind,,
FSK,2022-11-07,income_statement,income_statement,InterestIncomeOperatingPaidInKind,InterestIncomeOperatingPaidInKind,16000000,i879309acb65143b799d01cdcf7f93e28_D20210701-20210930,,,,,,False,InterestIncomeOperatingPaidInKind,,
FSK,2022-11-07,income_statement,income_statement,InterestIncomeOperatingPaidInKind,InterestIncomeOperatingPaidInKind,51000000,i0178982fcf2f4767817600b3474e5178_D20220101-20220930,,,,,,False,InterestIncomeOperatingPaidInKind,,
FSK,2022-11-07,income_statement,income_statement,InterestIncomeOperatingPaidInKind,InterestIncomeOperatingPaidInKind,35000000,i9b0bb3091c4f43dbb444a252c9d2b144_D20210101-20210930,,,,,,False,InterestIncomeOperatingPaidInKind,,
FSK,2022-11-07,income_statement,income_statement,FeeIncome,FeeIncome,23000000,i0d89a78473384d629792258c15fdb012_D20220701-20220930,,,,,,False,FeeIncome,,
FSK,2022-11-07,income_statement,income_statement,FeeIncome,FeeIncome,29000000,i879309acb65143b799d01cdcf7f93e28_D20210701-20210930,,,,,,False,FeeIncome,,
